ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1795,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Food preparation|Navigation,YapSEED illustrated readers,Topic reader,Provision for a long voyage,,[Provision for a long voyage],,,,,2009,"Retogral, Stan","Ribilyan, Elizabeth",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (English),YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1796,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Food preparation|Navigation,YapSEED illustrated readers,Topic reader,Mini Ka Wopwe Pwiki Reen Waeii,,[Provision for a long voyage],,,,,2009,"Retogral, Stan","Ligiteiwel, Richard J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.",,,,,Y,YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Satawalese),YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Satawalese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1797,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Food preparation|Navigation,YapSEED illustrated readers,Topic reader,Mwekal’a Ho Be Hasi Irel Waey,,[Provision for a long voyage],,,,,2009,"Retogral, Stan","Laimoh, Mariano J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Ulithian),YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Ulithian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1798,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Food preparation|Navigation,YapSEED illustrated readers,Topic reader,Mele Ka Go Be Gasii Iga Go Be Waiye,,[Provision for a long voyage],,,,,2009,"Retogral, Stan","Uolai, Augustin",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Woleaian),YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Woleaian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1799,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Food preparation|Navigation,YapSEED illustrated readers,Topic reader,Pi N’ean Ni Nga U Ni Feek Ko Chuur,,[Provision for a long voyage],,,,,2009,"Retogral, Stan","Untaman, Vicenta G.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Yapese),YapSEED illustrated readers - 2009 - Provision for a long voyage - 2009 - CS5 (Yapese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1800,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Cultural stories,Fishing,YapSEED illustrated readers,Narrative reader,The boy who learned how to pole fish,,[The boy who learned how to pole fish],,,,,2009,"Waithog, Ignathio","Ribilyan, Elizabeth",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (English),YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1801,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Cultural stories,Fishing,YapSEED illustrated readers,Narrative reader,Aetemwaen We Eggapwiung Aeyaen Pwoaw,,[The boy who learned how to pole fish],,,,,2009,"Waithog, Ignathio","Ligiteiwel, Richard J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.",,,,,Y,YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Satawalese),YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Satawalese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1802,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Cultural stories,Fishing,YapSEED illustrated readers,Narrative reader,Tarmwaal’ We Ye Kkaay Dowadow,,[The boy who learned how to pole fish],,,,,2009,"Waithog, Ignathio","Laimoh, Mariano J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Ulithian),YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Ulithian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1803,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Cultural stories,Fishing,YapSEED illustrated readers,Narrative reader,Sarimwaale We Ye Kabiungiu Bauli Iige,,[The boy who learned how to pole fish],,,,,2009,"Waithog, Ignathio","Uolai, Augustin",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Woleaian),YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Woleaian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1804,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Cultural stories,Fishing,YapSEED illustrated readers,Narrative reader,Ba Pagäl Nii Naang Rogon Ea Bugul I Baaw,,[The boy who learned how to pole fish],,,,,2009,"Waithog, Ignathio","Untaman, Vicenta G.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Yapese),YapSEED illustrated readers - 2009 - The boy who learned how to pole fish - 2009 - CS5 (Yapese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1805,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Health and nutrition,,YapSEED illustrated readers,Narrative reader,Yiuchae wanted to be a fast runner,,[Yiuchae wanted to be a fast runner],,,,,2010,"Bichey, Raphael","Ribilyan, Elizabeth",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (English),YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1806,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Health and nutrition,,YapSEED illustrated readers,Narrative reader,Wurha Etipaeni Epwe Nang Reen Fattapw,,[Yiuchae wanted to be a fast runner],,,,,2010,"Bichey, Raphael","Ligiteiwel, Richard J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.",,,,,Y,YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Satawalese),YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Satawalese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1807,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Health and nutrition,,YapSEED illustrated readers,Narrative reader,Yiuchae Ye Dipli Be Mmid Irel Ddaer,,[Yiuchae wanted to be a fast runner],,,,,2010,"Bichey, Raphael","Laimoh, Mariano J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Ulithian),YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Ulithian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1808,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Health and nutrition,,YapSEED illustrated readers,Narrative reader,Yiuchae Ye Tipelii Be Ye Be Rigirigi,,[Yiuchae wanted to be a fast runner],,,,,2010,"Bichey, Raphael","Uolai, Augustin",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Woleaian),YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Woleaian),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1809,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Health and nutrition,,YapSEED illustrated readers,Narrative reader,Yuuche Ea Ba Adaag Ni Ngea Machrëg Ko Miil,,[Yiuchae wanted to be a fast runner],,,,,2010,"Bichey, Raphael","Untaman, Vicenta G.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Yapese),YapSEED illustrated readers - 2010 - Yiuchae wanted to be a fast runner - 2010 - CS5 (Yapese),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1810,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Health and nutrition,Food preparation|Earth oven,YapSEED illustrated readers,Topic reader,Making an earth oven,,[Making an earth oven],,,,,2008,"Mwailyang, John",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,36,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2008 - Making an Earth Oven (English),YapSEED illustrated readers - 2008 - Making an Earth Oven (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1811,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Health and nutrition,Food preparation|Earth oven,YapSEED illustrated readers,Topic reader,Feoriun umw,,[Making an earth oven],,,,,2008,"Mwailyang, John","Ligiteiwel, Richard J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,36,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.",,,,,Y,YapSEED illustrated readers - 2008 - Making an Earth Oven (Satawalese) - Feoriun umw,YapSEED illustrated readers - 2008 - Making an Earth Oven (Satawalese) - Feoriun umw,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1812,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Health and nutrition,Food preparation|Earth oven,YapSEED illustrated readers,Topic reader,Rogon ea wum,,[Making an earth oven],,,,,2008,"Mwailyang, John","Untaman, Vicenta G.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,36,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2008 - Making an Earth Oven (Yapese) - Rogon ea wum,YapSEED illustrated readers - 2008 - Making an Earth Oven (Yapese) - Rogon ea wum,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1813,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Health and nutrition,Food preparation|Earth oven,YapSEED illustrated readers,Topic reader,Making an earth oven,Woleaian language version,[Making an earth oven],,,,,2008,"Mwailyang, John",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,36,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive in schools on Woleai atoll.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1814,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Health and nutrition,Food preparation|Earth oven,YapSEED illustrated readers,Topic reader,Making an earth oven,Ulithian language version,[Making an earth oven],,,,,2008,"Mwailyang, John",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,36,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive in schools on Ulithi atoll.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1815,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Place and community,,YapSEED illustrated readers,Topic reader,Gender roles,,[Gender roles],,,,,2016,"Gaan, Francis X.",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,6,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2016 - Gender roles (English),YapSEED illustrated readers - 2016 - Gender roles (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1816,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Place and community,,YapSEED illustrated readers,Topic reader,Yaare yengaange mwaale me shooabuto,,[Gender roles],,,,,2016,"Gaan, Francis X.","Tachibelmel, Martin",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,6,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2016 - Gender roles (Woleaian) - Yaare yengaange mwaale me shooabuto,YapSEED illustrated readers - 2016 - Gender roles (Woleaian) - Yaare yengaange mwaale me shooabuto,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1817,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Place and community,,YapSEED illustrated readers,Topic reader,Mat'awon ea pumoqon ngea bipiin,,[Gender roles],,,,,2016,"Gaan, Francis X.","Gurwan, Vicenta",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,6,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2016 - Gender roles (Yapese) - Mat'awon ea pumoqon ngea bipiin,YapSEED illustrated readers - 2016 - Gender roles (Yapese) - Mat'awon ea pumoqon ngea bipiin,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1818,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Place and community,,YapSEED illustrated readers,Topic reader,Gender roles,Ulithian language version,[Gender roles],,,,,2016,"Gaan, Francis X.",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,6,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive in schools on Ulithi atoll.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1819,Literacy development,Language arts and culture,Topic readers,Developing and fluent readers,Place and community,,YapSEED illustrated readers,Topic reader,Gender roles,Satawalese language version,[Gender roles],,,,,2016,"Gaan, Francis X.",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,6,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive on Satawal island.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1820,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Plants,YapSEED illustrated readers,Topic reader,Trees with edible fruits,,[Trees with edible fruits],,,,,2008,"Yilinfen, Jessica",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,English,eng,,,,Yap State,,,,,"Published also in Ulithian, Woleaian, Yapese, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2008 - Trees with edible fruits (English),YapSEED illustrated readers - 2008 - Trees with edible fruits (English),"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1821,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Plants,YapSEED illustrated readers,Topic reader,Waniwan ka sigaen mwongo uwaan,,[Trees with edible fruits],,,,,2008,"Yilinfen, Jessica","Ligiteiwel, Richard J.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Satawalese,stw,,,Satawal,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Woleaian.",,,,,Y,YapSEED illustrated readers - 2008 - Trees with edible fruits (Satawalese) - Waniwan ka sigaen mwongo uwaan,YapSEED illustrated readers - 2008 - Trees with edible fruits (Satawalese) - Waniwan ka sigaen mwongo uwaan,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1822,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Plants,YapSEED illustrated readers,Topic reader,Gaak'iy ni yi maa kaay waqamngin,,[Trees with edible fruits],,,,,2008,"Yilinfen, Jessica","Pugram, Leo D.",Translated by,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Yapese,yap,,,Yap,Yap State,,,,,"Published also in Ulithian, Woleaian, English, and Satawalese.",,,,,Y,YapSEED illustrated readers - 2008 - Trees with edible fruits (Yapese) - Gaak'iy ni yi maa kaay waqamngin,YapSEED illustrated readers - 2008 - Trees with edible fruits (Yapese) - Gaak'iy ni yi maa kaay waqamngin,"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1823,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Plants,YapSEED illustrated readers,Topic reader,Trees with edible fruits,Ulithian language version,[Trees with edible fruits],,,,,2008,"Yilinfen, Jessica",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Ulithian,uli,,,Ulithi|Fais,Yap State,,,,,"Published also in English, Woleaian, Yapese, and Satawalese.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive in schools on Ulithi atoll.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1824,Literacy development,Language arts and culture,Topic readers,Emerging and early readers,Health and nutrition,Plants,YapSEED illustrated readers,Topic reader,Trees with edible fruits,Satawalese language version,[Trees with edible fruits],,,,,2008,"Yilinfen, Jessica",,,,,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap State Vernacular Language Program,32,Woleaian,woe,,,Woleai|Eauripik|Ifalik|Faraulap|Elato|Lamotrek,Yap State,,,,,"Published also in Ulithian, English, Yapese, and Satawalese.","This book has not yet been located and the title is temporarily unknown. The book is not found in Yap DOE, COM-FSM, UH, or MICSEM collections, but copies may still survive on Satawal island.",,,,N,,,,,,,,,,,,,,,,,,,,,,
1825,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Satawalese-English,"YapSEED language arts dictionaries, resources, and textbooks",Junior dictionary,English-Satawalese Dictionary #1,(for language arts level 5),,,,ENGSAT,,2002,"Ligiteiwel, Richard J.|Rauselipua, Carlos|Sartilug, Lorenzo","Hidalgo, Cesar A.",Consultant,"Falan, Henry",Program director,,,,Yap State Department of Education,Yap SEED New Baseline Curriculum,86,Satawalese,stw,English,eng,Satawal,Yap State,,,,,,,,,,Y,YapSEED dictionaries - English-Satawalese Dictionary #1 [LA5],YapSEED dictionaries - English-Satawalese Dictionary #1 [LA5],"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1826,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Satawalese-English,"YapSEED language arts dictionaries, resources, and textbooks",Junior dictionary,English-Satawalese Dictionary #2,(for language arts level 6),,,,ENGSAT,,2002,"Ligiteiwel, Richard J.","Hidalgo, Cesar A.",Consultant,"Falan, Henry",Program director,,,,Yap State Department of Education,Yap SEED New Baseline Curriculum,42,Satawalese,stw,English,eng,Satawal,Yap State,,,,,,,,,,Y,YapSEED dictionaries - English-Satawalese Dictionary #2 [LA6],YapSEED dictionaries - English-Satawalese Dictionary #2 [LA6],"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1827,Knowledge expansion,Language arts and culture,Reference,Language reference,Dictionaries and grammars,Ulithian-English,"YapSEED language arts dictionaries, resources, and textbooks",Junior dictionary,English-Ulithian Dictionary #2,(for language arts level 6),,,,ENGULI,,2002,"Laimoh, Mariano J.","Hidalgo, Cesar A.",Consultant,"Falan, Henry",Program director,,,"Fanoway, Thomas M.",Yap State Department of Education,Yap SEED New Baseline Curriculum,44,Ulithian,uli,English,eng,Ulithi|Fais,Yap State,,,,,,,,,,Y,YapSEED dictionaries - English-Ulithian Dictionary #2 [LA6],YapSEED dictionaries - English-Ulithian Dictionary #2 [LA6],"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
1828,Knowledge expansion,Second-language learning,Reference,Language reference,Self-study materials,Yapese-English,"YapSEED language arts dictionaries, resources, and textbooks",Learner’s dictionary,English-Yapese Dictionary,(for Peace Corps Volunteers),,,,ENGYAP,,2003,"Pugram, Leo D.","Hidalgo, Cesar A.",Consultant,"Falan, Henry",Program director,,,,Yap State Department of Education,Peace Corps,88,Yapese,yap,English,eng,Yap,Yap State,,,,,,,"This dictionary was compiled from the Yapese-English dictionaries that were developed for Yapese students in grades 5-7. The main differences are that this “Peace Corps Training” version includes all words in all three books, and for easier reference, the sequence of words is plain alphabetical (rather than by subject).",,,Y,YapSEED dictionaries - English-Yapese Dictionary [for PCV],YapSEED dictionaries - English-Yapese Dictionary [for PCV],"Digital document added to the VLA resource library courtesy of Yap State Department of Education (2025), with special thanks to Sandy Keiji who located the hard copy and conducted the scanning.",,,,,,,,,,,,,,,,,,,
